model,avg_rank,top1_count,wins,draws,losses,wilcoxon_p_val,friedman_p
COTE,2.358,30,33,2,39,0.752641,8.937356188313222e-28
FAST(shapelets),2.818,20,,,,,8.937356188313222e-28
ST,3.135,13,42,1,31,0.034935,8.937356188313222e-28
BSPCOVER,3.162,19,40,2,32,0.054108,8.937356188313222e-28
LS,4.054,9,48,2,24,8.7e-05,8.937356188313222e-28
FS,5.473,4,68,2,4,0,8.937356188313222e-28
