dataset,Arsenal,DrCIF,HIVE-COTE 2.0,InceptionTime,MiniRocket,ResNet,STC,TDE,TS-CHIEF,MultiRocket,FAST
PowerCons,0.9548,0.9889,0.9689,0.9861,0.9837,0.8861,0.9406,0.9383,0.9794,0.977,0.9772
ProximalPhalanxOutlineAgeGroup,0.8514,0.8501,0.854,0.8221,0.8566,0.8174,0.8455,0.8579,0.8463,0.8532,0.8488
ProximalPhalanxOutlineCorrect,0.8961,0.8947,0.8963,0.9063,0.8942,0.9056,0.8953,0.8677,0.8755,0.9053,0.8935
ProximalPhalanxTW,0.8036,0.813,0.8112,0.7807,0.8021,0.7894,0.8076,0.8018,0.8111,0.808,0.8093
RefrigerationDevices,0.7165,0.7402,0.767,0.7594,0.697,0.7868,0.7772,0.7708,0.7268,0.7313,0.7533
Rock,0.804,0.8647,0.8887,0.6273,0.8153,0.416,0.8673,0.8753,0.832,0.86,0.86
ScreenType,0.5968,0.6699,0.707,0.7056,0.5422,0.7553,0.7179,0.6436,0.5942,0.6577,0.6501
SemgHandGenderCh2,0.9248,0.9521,0.9613,0.8846,0.9099,0.8089,0.9323,0.8803,0.9389,0.9494,0.9552
SemgHandMovementCh2,0.6406,0.8753,0.8619,0.551,0.675,0.421,0.7883,0.7075,0.885,0.7943,0.7327
SemgHandSubjectCh2,0.9142,0.9332,0.9389,0.7639,0.8787,0.5547,0.9133,0.8661,0.9331,0.9269,0.9425
ShapeletSim,0.9978,0.9733,1,0.9235,0.9996,0.7272,0.9996,0.995,1,1,1
ShapesAll,0.9236,0.8747,0.9343,0.9382,0.9348,0.9331,0.8653,0.9318,0.9411,0.946,0.9315
SmallKitchenAppliances,0.818,0.8446,0.8412,0.7706,0.8133,0.7966,0.8128,0.8116,0.838,0.8254,0.8219
SmoothSubspace,0.9749,0.9884,0.9827,0.9849,0.958,0.9929,0.9358,0.8742,0.9973,0.9796,0.964
