dataset,include_max,assemble_time_k369
ShapesAll,0,5.03412
ShapesAll,1,5.14811
SmallKitchenAppliances,0,2.6848300000000003
SmallKitchenAppliances,1,2.73215
SmoothSubspace,0,0.13568
SmoothSubspace,1,0.14767
SonyAIBORobotSurface1,0,0.37312
SonyAIBORobotSurface1,1,0.37892000000000003
SonyAIBORobotSurface2,0,0.43308
SonyAIBORobotSurface2,1,0.44938
StarLightCurves,0,31.1419
StarLightCurves,1,31.323410000000003
Strawberry,0,1.8813300000000002
Strawberry,1,1.89238
SwedishLeaf,0,1.08443
SwedishLeaf,1,1.14969
Symbols,0,1.4396900000000001
Symbols,1,1.51905
SyntheticControl,0,0.50202
SyntheticControl,1,0.53601
ToeSegmentation1,0,0.75485
ToeSegmentation1,1,0.79143
ToeSegmentation2,0,1.23779
ToeSegmentation2,1,1.1990599999999998
Trace,0,0.69298
Trace,1,1.02633
TwoLeadECG,0,0.45990000000000003
TwoLeadECG,1,0.50778
TwoPatterns,0,1.67026
TwoPatterns,1,1.8222999999999998
UMD,0,0.53129
UMD,1,0.5351899999999999
UWaveGestureLibraryAll,0,9.03407
UWaveGestureLibraryAll,1,9.17093
UWaveGestureLibraryX,0,5.40183
UWaveGestureLibraryX,1,5.76672
UWaveGestureLibraryY,0,3.50445
UWaveGestureLibraryY,1,3.7586799999999996
UWaveGestureLibraryZ,0,5.3583799999999995
UWaveGestureLibraryZ,1,5.67151
Wafer,0,2.13082
Wafer,1,2.39424
Wine,0,0.73863
Wine,1,0.7415
WordSynonyms,0,1.98935
WordSynonyms,1,1.92805
Worms,0,1.35413
Worms,1,2.57646
WormsTwoClass,0,2.65759
WormsTwoClass,1,2.6714100000000003
Yoga,0,2.63984
Yoga,1,2.8000599999999998
