dataset,include_max,acc_k9_kernels,std_acc_k9_kernels,acc_k9_shapelets,std_acc_k9_shapelets,acc_k9_both,std_acc_k9_both,acc_k369_kernels,std_acc_k369_kernels,acc_k369_shapelets,std_acc_k369_shapelets,acc_k369_both,std_acc_k369_both
LargeKitchenAppliances,0,0.9122899999999999,0.04171941860679377,0.8249,0.040545036687614444,0.91601,0.03681613323893028,0.9277200000000001,0.0327654221533752,0.8762700000000001,0.033338501266053734,0.9359999999999999,0.01635957076318186
Lightning2,1,0.73278,0.032845523963615585,0.7868999999999999,0.03542804915129628,0.7639400000000001,0.040320141093227554,0.7360599999999999,0.023765857863750656,0.7787,0.048434790067562905,0.7623,0.045244717309808044
Lightning7,1,0.82327,0.046324100998652196,0.7564444444444445,0.02542612392359042,0.82053,0.03845230956797152,0.82875,0.05176674715597946,0.7725799999999999,0.030429218414762708,0.82327,0.04495326091249299
Mallat,1,0.9658599999999999,0.00673056048516351,0.943988888888889,0.019877842214664838,0.9675,0.005449158956511845,0.96648,0.007598947295514021,0.9510799999999999,0.015438753547845477,0.9665799999999999,0.006573313049326376
Meat,0,0.99667,0.010530384608360687,0.99167,0.014153056207052948,0.99667,0.010530384608360687,0.9983299999999999,0.005281003692481216,0.9883200000000001,0.01125026419442872,0.99667,0.010530384608360687
MedicalImages,1,0.80263,0.011177363036264147,0.7624222222222222,0.014348238374255034,0.8036899999999999,0.009392840062752298,0.80343,0.010874235605319547,0.76079,0.014478908031263234,0.80447,0.008466017035444992
MiddlePhalanxOutlineAgeGroup,0,0.71559,0.02918345992738578,0.72728,0.02637237190697873,0.7195,0.02027888885844914,0.72014,0.027293271454090398,0.72403,0.0352047045467253,0.71949,0.02683871374629482
MiddlePhalanxOutlineCorrect,1,0.85601,0.015655630864892606,0.7872899999999999,0.008652867219084735,0.8522399999999999,0.013151611646064095,0.8553200000000001,0.013384717653602812,0.7872899999999999,0.008652867219084735,0.85465,0.014480043738423808
MiddlePhalanxTW,0,0.5837600000000001,0.021308224807441017,0.6046222222222223,0.02669048415530232,0.58311,0.024264901492576575,0.58765,0.02128412292975425,0.6032500000000001,0.025535432898882552,0.5902499999999999,0.025350925909016525
MixedShapesRegularTrain,1,0.97352,0.002996590655320743,,,0.97352,0.002996590655320743,0.9760099999999999,0.003360042989142973,0.97406,0.005256572605372738,0.9793499999999999,0.002560056422989341
MixedShapesSmallTrain,1,0.94886,0.007066226401379736,0.9443,,0.94956,0.007945956344092417,0.95182,0.007346170582161988,0.94991,0.004822965892477397,0.95863,0.005312887894335573
MoteStrain,0,0.90169,0.02345963199484027,0.89193,0.027743469702095853,0.90176,0.024517077948057166,0.9040699999999999,0.023586910211668935,0.89624,0.02985837682571952,0.9067999999999999,0.02891512483881824
OliveOil,0,0.92332,0.02743253542784552,0.9033300000000001,0.024570897419508297,0.9199999999999999,0.03220307093706714,0.91666,0.028319180779111518,0.90334,0.04567951644032828,0.92333,0.03162161883550204
OSULeaf,1,0.9502,0.011555566239311275,0.9342,,0.95102,0.010889015872275443,0.9559599999999999,0.0091114335986288,0.94734,0.010040274453973397,0.96831,0.010806217346200913
PhalangesOutlinesCorrect,1,0.85472,0.01302866924218364,0.7908444444444443,0.016879285464076257,0.8543799999999999,0.010156202264845066,0.85821,0.012743839470286985,0.79115,0.01594325005205092,0.8545999999999999,0.011258576977378427
Phoneme,0,0.29752999999999996,0.011997689592398837,0.328175,0.011014346704790668,0.31229,0.02029194969001801,0.31118999999999997,0.011476299248644775,0.32732,0.01251983315472782,0.34336,0.01008774834473316
PigAirwayPressure,1,0.77356,0.046366731368274995,0.49518000000000006,0.11117521506363028,0.79087,0.04802504092195608,0.79087,0.04124275155170368,0.49518000000000006,0.11117521506363028,0.81059,0.035638258156711934
PigArtPressure,0,0.8836499999999999,0.019463769761619492,0.85095,0.06520866506837875,0.8865299999999999,0.020032531875260634,0.8961399999999999,0.02163901825663796,0.87837,0.0335583091217527,0.9096,0.023320663226703807
PigCVP,0,0.8432700000000001,0.023577675410815572,0.6784333333333333,0.13750419993585652,0.84519,0.023750763730410365,0.84231,0.02124253855932582,0.68944,0.13263089299924727,0.84903,0.024010277891862133
Plane,1,1,0,0.99048,0.01347041202042463,1,0,1,0,0.9981,0.006008327554319953,1,0
PowerCons,0,0.97833,0.01124752318414049,0.9755499999999999,0.012869537676233753,0.97779,0.012542412491666459,0.97888,0.010062670288414169,0.9755499999999999,0.012869537676233753,0.9772299999999999,0.012666320170699396
ProximalPhalanxOutlineAgeGroup,0,0.8433999999999999,0.02362329358916746,0.852588888888889,0.018219251112795806,0.84487,0.018937326456850583,0.8458399999999999,0.01798234937067148,0.8526999999999999,0.017180867912367587,0.84878,0.019252636183130886
ProximalPhalanxOutlineCorrect,1,0.89244,0.014842671218109272,0.8396499999999999,0.01759576653630071,0.89003,0.017665726390072082,0.89415,0.01061751697275152,0.8353999999999999,0.01905215065142108,0.8934799999999999,0.013642319776668809
ProximalPhalanxTW,1,0.8078,0.021217445652104296,0.77725,0.01332107353031279,0.8004999999999999,0.014436527745040829,0.8029400000000001,0.022076593940189234,0.78244,0.017534740121002954,0.80927,0.012889190130579252
RefrigerationDevices,1,0.7104,0.022284822936997597,0.712,0.02435542376282269,0.71815,0.023485231766178335,0.7328,0.01476602707418469,0.69653,0.021848521434845183,0.75334,0.014292904222414422
Rock,0,0.834,0.0646701030014815,0.818,0.05202563470700447,0.8480000000000001,0.03155242550986462,0.842,0.05692099788303083,0.828,0.0329309040939426,0.86,0.02309401076758505
ScreenType,0,0.59412,0.0300321605394395,0.61918,0.03916155002039626,0.6151899999999999,0.03758910746479624,0.6138600000000001,0.02581852048433451,0.61839,0.02795295452482021,0.65012,0.014268831611437417
SemgHandGenderCh2,1,0.932,0.010161692772368187,0.94855,0.005663416434828545,0.95283,0.009714599551419725,0.93632,0.009011819399482493,0.93417,0.03237512934337096,0.9551700000000001,0.007304192099214117
SemgHandMovementCh2,1,0.696,0.046938375676104406,0.6074,0.034170630664358534,0.70956,0.05351342925949624,0.70955,0.04742144967089142,0.61176,0.028615893020021786,0.7326699999999999,0.040486213016833805
SemgHandSubjectCh2,1,0.92089,0.008968395124609015,0.9280099999999999,0.010488665840377933,0.9406700000000001,0.009432809172716702,0.92156,0.010218849685208656,0.9280099999999999,0.010488665840377933,0.94245,0.009288732720643601
ShapeletSim,1,0.9994400000000001,0.0017708754896943151,1,0,1,0,1,0,1,0,1,0
ShapesAll,1,0.922,0.0122343777937417,0.8122111111111111,0.03171444641028925,0.92817,0.010294232473682639,0.9288299999999999,0.009966505015411487,0.8056599999999999,0.03637609715794759,0.9315,0.009254668491571623
SmallKitchenAppliances,1,0.8096099999999999,0.009740573790992885,0.8006624999999999,0.01733427138029503,0.81653,0.010276407716490951,0.8176,0.012062430195537805,0.79787,0.018034722682154603,0.8218799999999999,0.014589174068465952
SmoothSubspace,1,0.88534,0.02388389508527546,,,0.88534,0.02388389508527546,0.9306599999999999,0.012250913798116792,0.9633200000000001,0.015163318311709402,0.9640000000000001,0.013765254164824667
SonyAIBORobotSurface1,1,0.95541,0.019363508061413962,0.94159,0.019978179763598752,0.9554,0.011344798122683571,0.95724,0.01844946250346244,0.9459199999999999,0.012173450163732938,0.95591,0.012976256094198444
SonyAIBORobotSurface2,1,0.92666,0.033541357555511415,0.9078999999999999,0.035469071033789455,0.92476,0.031272785470934795,0.92729,0.03241297579673913,0.9046100000000001,0.03470214370579684,0.9253,0.032987708148473856
StarLightCurves,1,0.98052,0.001408545348932707,0.96996,0.004350019157045951,0.9802500000000001,0.0011007573150638723,0.9801500000000001,0.0010606601717798232,0.96996,0.004350019157045951,0.98009,0.000901172076304548
Strawberry,0,0.9808300000000001,0.005894828241772592,0.9473100000000001,0.024037214203535873,0.97948,0.006261309767133387,0.9797499999999999,0.0051307894129461245,0.9473100000000001,0.024037214203535873,0.98056,0.005942726646918882
SwedishLeaf,1,0.96608,0.0063911049296833024,0.92608,0.02192058393382801,0.96592,0.006577537533150235,0.96912,0.009601481367187272,0.9176,0.02359058192490285,0.9681599999999999,0.005303918886592786
Symbols,0,0.97789,0.00752040926782285,0.96571,0.006450917247441131,0.9781000000000001,0.0041041983924323695,0.97959,0.004400113634896243,0.96713,0.007866532484731343,0.9784,0.003836954811073784
SyntheticControl,1,0.99368,0.005076262842332383,0.9740777777777778,0.011535681360216413,0.99535,0.00421643609382774,0.994,0.004103656905736652,0.9763400000000001,0.013017782709304482,0.9956699999999999,0.003872423874870462
ToeSegmentation1,0,0.9337799999999999,0.010432087252532198,0.93247,0.019749433184552672,0.94167,0.013106745506714404,0.93377,0.010644983168923604,0.93643,0.016171308611928174,0.9376999999999999,0.018116965652239986
ToeSegmentation2,0,0.9061600000000001,0.021412831044337253,0.8954000000000001,0.03462773454905768,0.9077,0.022079301518742746,0.90847,0.02364957363956763,0.8907700000000001,0.02851767677930465,0.9115499999999999,0.018597266824276457
Trace,1,1,0,1,0,1,0,1,0,1,0,1,0
TwoLeadECG,1,0.9987600000000001,0.0024199173539606717,0.99298,0.005321820908089413,0.9981500000000001,0.003515442124873217,0.99867,0.0023851624682608165,0.99543,0.005279320242438622,0.99841,0.0027742666698707215
TwoPatterns,0,1,0,0.9972,0.0010000000000000286,1,0,1,0,0.9984400000000001,0.0011777568132306437,1,0
UMD,1,0.9750099999999999,0.023422612531008972,0.95692,0.017301358328177533,0.97223,0.023609134296331644,0.97779,0.015300068990403617,0.9736100000000001,0.01382593778213816,0.98058,0.012605272265559679
UWaveGestureLibraryAll,1,0.98126,0.0016194649322127188,0.8738,0.004403407771260808,0.98127,0.0018221172056459758,0.9820399999999999,0.001549336775670289,0.8789300000000001,0.009203266328380946,0.9825200000000001,0.0017874873736928017
UWaveGestureLibraryX,1,0.85381,0.0032319412810947693,0.80664,0.021160245745264865,0.8565200000000001,0.003870630152543359,0.85686,0.004856656371528757,0.80664,0.021160245745264865,0.8588100000000001,0.004230432076698008
UWaveGestureLibraryY,1,0.78249,0.006660739031402165,0.6648428571428572,0.05475676083501341,0.7838,0.007690975953096612,0.78411,0.006490411731504006,0.6606099999999999,0.04710014036308409,0.78628,0.007076691003255359
UWaveGestureLibraryZ,0,0.80453,0.0057180124752108435,0.72471,0.03466636057557175,0.8035,0.005595633218064889,0.80802,0.0053334999973959065,0.72471,0.03466636057557175,0.80663,0.006330709983002588
Wafer,1,0.9992599999999999,0.00047656176001764747,,,0.9992599999999999,0.00047656176001764747,0.9995100000000001,0.0003142893217686424,0.99932,0.00036147844564606284,0.9995100000000001,0.00034140233677519257
Wine,1,0.9425800000000001,0.044894265904579754,0.9074199999999999,0.06982679842136381,0.9333199999999999,0.04381280381096122,0.94443,0.04186860531604929,0.8981600000000001,0.05935936133229344,0.9425800000000001,0.04403440069359915
WordSynonyms,1,0.7794800000000001,0.012606506256691404,0.5658166666666666,0.049460506130312415,0.77618,0.014009663331667444,0.7758700000000001,0.015925664123601805,0.563,0.037196684440059115,0.77491,0.016685219673578004
Worms,0,0.7428600000000001,0.05186320039831282,0.7662,,0.74416,0.052669898635009954,0.75453,0.04877560979742961,0.74804,0.04906026226319357,0.7740199999999999,0.04866177600996952
WormsTwoClass,0,0.76494,0.04216391822399812,0.7517999999999999,0.03401102762340474,0.77143,0.03473247119851334,0.7623300000000001,0.04583577084427497,0.75324,0.040142557079599316,0.77791,0.02769269659033671
Yoga,1,0.90809,0.009635172834752629,0.817825,0.01106296373792602,0.9061600000000001,0.010031417314284799,0.9092399999999999,0.009122280416650206,0.80267,0.04112309570059142,0.9059099999999999,0.008631653633252696
